date,examcnt,spread,policy,cnt
2020-02-01,119,0.035,0,1
2020-02-02,55,0.035,0,1
2020-02-05,105,0.035,0,1
2020-02-09,498,0.035,0,1
2020-02-10,512,0.035,0,1
2020-02-18,1053,0.008,0,1
2020-02-20,1976,0.035,0,1
2020-02-21,3098,0.07,0,2
2020-02-22,4957,0.121,0,7
2020-02-23,4424,0.35,0,10
2020-02-24,6346,0.288,0,9
2020-02-25,7404,0.21,0,6
2020-02-26,12965,0.288,0,9
2020-02-27,12594,0.374,0,13
2020-02-28,13944,0.226,0,8
2020-02-29,12075,0.331,0,11
2020-03-01,4280,0.07,0,2
2020-03-02,10194,0.07,0,2
2020-03-03,15660,0.28,0,8
2020-03-04,10340,0.35,0,10
2020-03-05,9396,0.358,0,11
2020-03-06,17681,0.393,0,13
2020-03-07,12966,0.183,0,6
2020-03-08,9962,0.277,0,12
2020-03-09,7852,0.339,0,12
2020-03-10,13395,0.35,0,10
2020-03-11,12009,0.175,0,5
2020-03-12,12489,0.094,0,5
2020-03-13,13539,0.444,0,15
2020-03-14,12581,0.269,0,10
2020-03-15,6801,0.449,0,19
2020-03-16,6218,0.796,0,32
2020-03-17,12128,0.374,0,13
2020-03-18,8838,0.514,0,17
2020-03-19,11225,0.288,0,9
2020-03-20,9553,0.234,0,9
2020-03-21,10698,0.363,0,15
2020-03-22,4173,0.223,1.5,11
2020-03-23,6192,0.18,1.5,9
2020-03-24,10470,0.479,1.5,16
2020-03-25,9214,0.296,1.5,10
2020-03-26,6942,0.339,1.5,12
2020-03-27,11928,0.304,1.5,11
2020-03-28,10818,0.253,1.5,8
2020-03-29,6111,0.148,1.5,5
2020-03-30,975,0.156,1.5,6
2020-03-31,15245,0.336,1.5,15
2020-04-01,10882,0.269,1.5,10
2020-04-02,10107,0.395,1.5,19
2020-04-03,11444,0.409,1.5,14
2020-04-04,11665,0.191,1.5,7
2020-04-05,6120,0.086,1.5,4
2020-04-06,5524,0.156,1.5,6
2020-04-07,10453,0.148,1.5,5
2020-04-08,8646,0.086,1.5,4
2020-04-09,8669,0.175,1.5,5
2020-04-10,8313,0.156,1.5,6
2020-04-11,7398,0.121,1.5,5
2020-04-13,4097,0.21,1.5,6
2020-04-14,8668,0.078,1.5,3
2020-04-15,7087,0.035,1.5,1
2020-04-16,4201,0.035,1.5,1
2020-04-17,7666,0.086,1.5,4
2020-04-19,4267,0.008,1.5,1
2020-04-20,3913,0.035,1,1
2020-04-22,6934,0.008,1,1
2020-04-23,6004,0.035,1,1
2020-04-24,5543,0.07,1,2
2020-04-25,5631,0.008,1,1
2020-04-26,3114,0.035,1,1
2020-04-28,6840,0.035,1,1
2020-05-06,2856,0.035,1,1
2020-05-07,6289,0.035,1,1
2020-05-08,5463,0.078,1,3
2020-05-09,5149,0.183,1,6
2020-05-10,3822,0.086,1,4
2020-05-11,4571,0.172,1,8
2020-05-12,12371,0.035,1,1
2020-05-13,15004,0.156,1,6
2020-05-14,15535,0.07,1,2
2020-05-15,15236,0.035,1,1
2020-05-16,13879,0.035,1,1
2020-05-17,6995,0.035,1,1
2020-05-18,5543,0.07,1,2
2020-05-19,12350,0.156,1,6
