"","time","country","confirm","cum_heal","cum_dead"
"1",2020-01-20,"South Korea",1,0,0
"2",2020-01-21,"South Korea",1,0,0
"3",2020-01-22,"South Korea",1,0,0
"4",2020-01-23,"South Korea",1,0,0
"5",2020-01-24,"South Korea",2,0,0
"6",2020-01-25,"South Korea",2,0,0
"7",2020-01-26,"South Korea",3,0,0
"8",2020-01-27,"South Korea",4,0,0
"9",2020-01-28,"South Korea",4,0,0
"10",2020-01-29,"South Korea",4,0,0
"11",2020-01-30,"South Korea",6,0,0
"12",2020-01-31,"South Korea",6,0,0
"13",2020-02-01,"South Korea",6,0,0
"14",2020-02-02,"South Korea",6,0,0
"15",2020-02-03,"South Korea",6,0,0
"16",2020-02-06,"South Korea",24,1,0
"17",2020-02-07,"South Korea",24,1,0
"18",2020-02-08,"South Korea",24,2,0
"19",2020-02-09,"South Korea",27,3,0
"20",2020-02-10,"South Korea",27,3,0
"21",2020-02-11,"South Korea",28,3,0
"22",2020-02-12,"South Korea",28,3,0
"23",2020-02-13,"South Korea",28,7,0
"24",2020-02-14,"South Korea",28,7,0
"25",2020-02-15,"South Korea",28,9,0
"26",2020-02-16,"South Korea",29,9,0
"27",2020-02-17,"South Korea",30,10,0
"28",2020-02-18,"South Korea",31,10,0
"29",2020-02-19,"South Korea",51,10,0
"30",2020-02-20,"South Korea",104,12,1
"31",2020-02-21,"South Korea",204,12,2
"32",2020-02-22,"South Korea",433,18,3
"33",2020-02-23,"South Korea",602,18,6
"34",2020-02-24,"South Korea",833,22,8
"35",2020-02-25,"South Korea",977,22,11
"36",2020-02-26,"South Korea",1261,22,12
"37",2020-02-27,"South Korea",1766,24,13
"38",2020-02-28,"South Korea",2337,26,16
"39",2020-02-29,"South Korea",3150,27,17
"40",2020-03-01,"South Korea",3736,27,20
"41",2020-03-02,"South Korea",4335,30,26
"42",2020-03-03,"South Korea",5186,30,31
"43",2020-03-04,"South Korea",5621,34,35
"44",2020-03-05,"South Korea",6088,88,41
"45",2020-03-06,"South Korea",6593,108,43
"46",2020-03-07,"South Korea",7041,118,44
"47",2020-03-08,"South Korea",7313,130,50
"48",2020-03-09,"South Korea",7478,166,53
"49",2020-03-10,"South Korea",7513,247,80
"50",2020-03-11,"South Korea",7755,288,65
"51",2020-03-12,"South Korea",7869,333,66
"52",2020-03-13,"South Korea",7979,510,72
"53",2020-03-14,"South Korea",8086,714,72
"54",2020-03-15,"South Korea",8162,834,75
"55",2020-03-16,"South Korea",8236,1173,77
"56",2020-03-17,"South Korea",8320,1407,83
"57",2020-03-18,"South Korea",8413,1540,91
"58",2020-03-19,"South Korea",8565,1947,93
"59",2020-03-20,"South Korea",8652,2233,100
"60",2020-03-21,"South Korea",8799,2612,102
"61",2020-03-22,"South Korea",8897,2909,104
"62",2020-03-23,"South Korea",8961,3166,111
"63",2020-03-24,"South Korea",9037,3507,120
"64",2020-03-25,"South Korea",9137,3730,126
"65",2020-03-26,"South Korea",9241,4144,131
"66",2020-03-27,"South Korea",9332,4528,139
"67",2020-03-28,"South Korea",9478,4811,144
"68",2020-03-29,"South Korea",9583,5033,152
"69",2020-03-30,"South Korea",9661,5228,158
"70",2020-03-31,"South Korea",9786,5408,162
"71",2020-04-01,"South Korea",9887,5567,165
"72",2020-04-02,"South Korea",9976,5828,169
"73",2020-04-03,"South Korea",10062,6021,174
"74",2020-04-04,"South Korea",10156,6325,177
"75",2020-04-05,"South Korea",10237,6463,183
"76",2020-04-06,"South Korea",10284,6598,186
"77",2020-04-07,"South Korea",10331,6694,192
"78",2020-04-08,"South Korea",10384,6776,200
