"","time","confirm","cum_heal","cum_dead"
"1",2020-01-21,1,1,1
"2",2020-01-22,1,1,1
"3",2020-01-23,1,1,1
"4",2020-01-24,6,1,1
"5",2020-01-25,6,1,1
"6",2020-01-26,6,1,1
"7",2020-01-27,14,1,1
"8",2020-01-28,14,1,1
"9",2020-01-29,14,1,1
"10",2020-01-30,16,1,1
"11",2020-01-31,2,1,1
"12",2020-02-01,3,1,1
"13",2020-02-02,4,1,1
"14",2020-02-03,4,1,1
"15",2020-02-04,5,1,1
"16",2020-02-05,7,2,1
"17",2020-02-06,8,5,1
"18",2020-02-07,8,5,1
"19",2020-02-08,8,5,1
"20",2020-02-09,9,6,1
"21",2020-02-10,9,7,1
"22",2020-02-11,10,7,1
"23",2020-02-12,10,8,1
"24",2020-02-13,10,8,1
"25",2020-02-14,10,8,1
"26",2020-02-15,10,9,1
"27",2020-02-16,11,9,1
"28",2020-02-17,12,3,1
"29",2020-02-18,13,3,1
"30",2020-02-19,15,4,1
"301",2020-02-19,15,4,1
"31",2020-02-20,104,12,1
"32",2020-02-21,204,12,2
"33",2020-02-22,433,18,3
"34",2020-02-23,602,18,6
"35",2020-02-24,833,22,8
"36",2020-02-25,977,22,11
"37",2020-02-26,1261,22,12
"38",2020-02-27,1766,24,13
"39",2020-02-28,2337,26,16
"40",2020-02-29,3150,27,17
"41",2020-03-01,3736,27,20
"42",2020-03-02,4335,30,26
"43",2020-03-03,5186,30,31
"44",2020-03-04,5621,34,35
"45",2020-03-05,6088,88,41
"46",2020-03-06,6593,108,43
"47",2020-03-07,7041,118,44
"48",2020-03-08,7313,130,50
"49",2020-03-09,7478,166,53
"50",2020-03-10,7513,247,80
"51",2020-03-11,7755,288,65
"52",2020-03-12,7869,333,66
"53",2020-03-13,7979,510,72
"54",2020-03-14,8086,714,72
"55",2020-03-15,8162,834,75
"56",2020-03-16,8236,1173,77
"57",2020-03-17,8320,1407,83
"58",2020-03-18,8413,1540,91
"59",2020-03-19,8565,1947,93
"60",2020-03-20,8652,2233,100
"61",2020-03-21,8799,2612,102
"62",2020-03-22,8897,2909,104
"63",2020-03-23,8961,3166,111
"64",2020-03-24,9037,3507,120
"65",2020-03-25,9137,3730,126
"66",2020-03-26,9241,4144,131
"67",2020-03-27,9332,4528,139
"68",2020-03-28,9478,4811,144
"69",2020-03-29,9583,5033,152
"70",2020-03-30,9661,5228,158
"71",2020-03-31,9786,5408,162
"72",2020-04-01,9887,5567,165
"73",2020-04-02,9976,5828,169
"74",2020-04-03,10062,6021,174
"75",2020-04-04,10156,6325,177
"76",2020-04-05,10237,6463,183
"77",2020-04-06,10284,6598,186
"78",2020-04-07,10331,6694,192
"79",2020-04-08,10384,6776,200
"80",2020-04-09,10423,6973,204
"81",2020-04-10,10450,7117,208
"82",2020-04-11,10480,7243,211
"83",2020-04-12,10512,7368,214
"84",2020-04-13,10537,7447,217
"85",2020-04-14,10564,7534,222
"86",2020-04-15,10591,7616,225
"87",2020-04-16,10613,7757,229
"88",2020-04-17,10635,7829,230
"89",2020-04-18,10653,7937,232
"90",2020-04-19,10661,8042,234
"91",2020-04-20,10674,8114,236
"92",2020-04-21,10683,8213,237
"93",2020-04-22,10694,8277,238
"94",2020-04-23,10702,8411,240
"95",2020-04-24,10708,8501,240
"96",2020-04-25,10718,8635,240
"97",2020-04-26,10728,8717,242
"98",2020-04-27,10738,8764,243
"99",2020-04-28,10752,8854,244
"100",2020-04-29,10761,8922,246
"101",2020-04-30,10765,9059,247
"102",2020-05-01,10774,9072,248
"103",2020-05-02,10780,9123,250
"104",2020-05-03,10793,9183,250
"105",2020-05-04,10801,9217,252
"106",2020-05-05,10804,9283,254
"107",2020-05-06,10806,9333,255
"108",2020-05-07,10810,9419,256
"109",2020-05-08,10822,9484,256
"110",2020-05-09,10840,9568,256
"111",2020-05-10,10874,9610,256
"112",2020-05-11,10909,9632,256
"113",2020-05-12,10936,9670,258
"114",2020-05-13,10962,9695,259
"115",2020-05-14,10991,9762,260
"116",2020-05-15,11018,9821,260
"117",2020-05-16,11037,9851,262
"118",2020-05-17,11050,9888,262
"119",2020-05-18,11065,9904,263
"120",2020-05-19,11078,9938,263
"121",2020-05-20,11110,10066,263
"122",2020-05-21,11122,10135,264
"123",2020-05-22,11142,10162,264
"124",2020-05-23,11165,10194,266
"125",2020-05-24,11190,10213,266
"126",2020-05-25,11206,10226,267
"127",2020-05-26,11225,10275,269
"128",2020-05-27,11265,10295,269
"129",2020-05-28,11344,10340,269
"130",2020-05-29,11402,10363,269
"131",2020-05-30,11441,10398,269
